Marca,Modelo,Kilometraje
Mazda,2005,107064
Renault,2005,107796
Mazda,2018,86254
Renault,2022,161047
Mazda,2009,1749
Mazda,2006,50374
Mazda,2005,51916
Mazda,2019,5089
Mazda,2006,48425
Mazda,2021,134614
Renault,2008,17831
Mazda,2007,96281
Renault,2010,176103
Mazda,2015,46473
Renault,2014,14583
Mazda,2022,174477
Renault,2022,84766
Renault,2013,13121
Mazda,2007,146442
Renault,2011,174663
Mazda,2009,141847
Renault,2013,86820
Mazda,2015,82464
Mazda,2021,33590
Renault,2011,129127
Mazda,2005,40943
Mazda,2012,115592
Mazda,2005,12458
Mazda,2021,148832
Renault,2010,21328
Renault,2007,163782
Mazda,2007,51655
Mazda,2018,48037
Renault,2018,46927
Renault,2005,130828
Mazda,2013,10563
Renault,2014,147764
Mazda,2014,145802
Renault,2019,120190
Renault,2008,62137
Renault,2019,176714
Renault,2017,124116
Renault,2020,116455
Mazda,2022,107709
Mazda,2010,156214
Renault,2019,49587
Mazda,2016,175220
Renault,2010,179482
Mazda,2008,48597
Renault,2020,49186
